종목명,자산유형,지역,최종분류
SK하이닉스,개별주,국내,국내 개별주
한전기술,개별주,국내,국내 개별주
삼양식품,개별주,국내,국내 개별주
원익IPS,개별주,국내,국내 개별주
현대엘리베이터,개별주,국내,국내 개별주
한국항공우주,개별주,국내,국내 개별주
NAVER,개별주,국내,국내 개별주
오로스테크놀로지,개별주,국내,국내 개별주
KT,개별주,국내,국내 개별주
미래에셋증권,개별주,국내,국내 개별주
리노공업,개별주,국내,국내 개별주
삼성SDI,개별주,국내,국내 개별주
한화솔루션,개별주,국내,국내 개별주
LS머터리얼즈,개별주,국내,국내 개별주
삼성전자,개별주,국내,국내 개별주
DB하이텍,개별주,국내,국내 개별주
SK디앤디,개별주,국내,국내 개별주
KT&G,개별주,국내,국내 개별주
하나마이크론,개별주,국내,국내 개별주
한일시멘트,개별주,국내,국내 개별주
두산에너빌리티,개별주,국내,국내 개별주
카카오,개별주,국내,국내 개별주
맥쿼리인프라,개별주,국내,국내 개별주
카카오뱅크,개별주,국내,국내 개별주
한화갤러리아,개별주,국내,국내 개별주
애니플러스,개별주,국내,국내 개별주

TIGER 반도체TOP10,ETF,국내,국내 ETF
ACE KRX금현물,ETF,국내,국내 ETF
TIGER 코리아TOP10,ETF,국내,국내 ETF
TIGER200,ETF,국내,국내 ETF
KODEX 코스닥 150,ETF,국내,국내 ETF
KoAct 코스닥액티브,ETF,국내,국내 ETF
ACE 고배당주,ETF,국내,국내 ETF

알파벳C,개별주,해외,해외 개별주
애플,개별주,해외,해외 개별주
팔란티어,개별주,해외,해외 개별주
셰브론,개별주,해외,해외 개별주
뱅크오브아메리카,개별주,해외,해외 개별주
아메리칸익스프레스,개별주,해외,해외 개별주
코카콜라,개별주,해외,해외 개별주
엔비디아,개별주,해외,해외 개별주
테슬라,개별주,해외,해외 개별주
제타,개별주,해외,해외 개별주
오라클,개별주,해외,해외 개별주
CME,개별주,해외,해외 개별주
AMD,개별주,해외,해외 개별주
마이크로소프트,개별주,해외,해외 개별주
마이크론,개별주,해외,해외 개별주
웨이스트 매니지먼트,개별주,해외,해외 개별주
알파벳A,개별주,해외,해외 개별주
리커전 파머슈티컬스,개별주,해외,해외 개별주
화이자,개별주,해외,해외 개별주
레어어스,개별주,해외,해외 개별주
메타,개별주,해외,해외 개별주
써클 인터넷 그룹,개별주,해외,해외 개별주
유아이패스,개별주,해외,해외 개별주
아마존닷컴,개별주,해외,해외 개별주
스타벅스,개별주,해외,해외 개별주
맥도날드,개별주,해외,해외 개별주
RISE 글로벌리얼티인컴,ETF,해외,해외 ETF
SOL 글로벌AI반도체탑픽액티브,ETF,해외,해외 ETF
1Q 샤오미밸류체인액티브,ETF,해외,해외 ETF
VANGUARD S&P 500,ETF,해외,해외 ETF
ROUNDHILL MAGNIFICENT SEVEN,ETF,해외,해외 ETF
제타 글로벌 홀딩스,개별주,해외,해외 개별주
CME 그룹,개별주,해외,해외 개별주
웨이스트 매니지먼트,개별주,해외,해외 개별주
리커전 파머슈티컬스,개별주,해외,해외 개별주
USA 레어 어스,개별주,해외,해외 개별주
써클 인터넷 그룹,개별주,해외,해외 개별주
버크셔 해서웨이 B,개별주,해외,해외 개별주
아마존닷컴,개별주,해외,해외 개별주

kodex 미국나스닥100,ETF,해외,해외 ETF
kodex 미국S&P500,ETF,해외,해외 ETF
SOL 미국배당다우존스2호,ETF,해외,해외 ETF
ACE 미국30년국채액티브,ETF,해외,해외 ETF
TIGER 미국테크TOP10INDXX top10,ETF,해외,해외 ETF
미국 AI전력핵심인프라,ETF,해외,해외 ETF
글로벌생성형AI액티브,ETF,해외,해외 ETF
미국반도체,ETF,해외,해외 ETF
글로벌리얼리티인컴,ETF,해외,해외 ETF
글로벌AI반도체탑픽엑티브,ETF,해외,해외 ETF
VANGUARD S&P 500,ETF,해외,해외 ETF
ROUNDHILL MAGNIFICENT SEVEN,ETF,해외,해외 ETF
SCHD,ETF,해외,해외 ETF
TSLL,ETF,해외,해외 ETF
VTI,ETF,해외,해외 ETF
SPY,ETF,해외,해외 ETF
MSTY,ETF,해외,해외 ETF
1Q 샤오미밸류체인액티브,ETF,해외,해외 ETF
KODEX 차이나항셍테크,ETF,해외,해외 ETF
